"specificationID","sectionID","sectionLabel","sectionURL","definitionID","definitionURL","definitionTerm","definitionText","definitionLocal","definitionCurrent"
"NDR-5.0","section_4.1.4","Section 4.1.4. Instance documents and elements","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_4.1.4","definition_conformant_element_information_item","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_conformant_element_information_item","conformant element information item","A conformant element information item is an element information item that satisfies all of the following criteria: Its [namespace name] and [local name] matches an element declared by a reference schema document or extension schema document. It occurs within a conformant instance XML document. It is locally schema-valid. It satisfies all rules specified in this document applicable to an element in a conformant instance XML document.",true,true
"NDR-5.0","section_4.1.4","Section 4.1.4. Instance documents and elements","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_4.1.4","definition_conformant_instance_XML_document","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_conformant_instance_XML_document","conformant instance XML document","A conformant instance XML document is an XML document that is an instance document valid to a conformant schema document set. It is a conformance target of this specification. A conformant instance XML document MUST conform to all rules of this specification that apply to this conformance target.",true,true
"NDR-5.0","section_4.1.3","Section 4.1.3. Schema document set","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_4.1.3","definition_conformant_schema_document_set","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_conformant_schema_document_set","conformant schema document set","A conformant schema document set is a collection of schema documents that together are capable of validating a conformant instance XML document. It is a conformance target of this specification. A conformant schema document set MUST conform to all rules of this specification that apply to this conformance target.",true,true
"NDR-5.0","section_2.4.1","Section 2.4.1. Rules","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_2.4.1","definition_constraint_rule","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_constraint_rule","constraint rule","A constraint rule is a rule that sets a requirement on an artifact with respect to its conformance to a conformance target.",true,true
"NDR-5.0","section_7.4","Section 7.4. ISO 11179 Part 4","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_7.4","definition_data_definition","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_data_definition","data definition","The data definition of a schema component is the content of the first occurrence of the element xs:documentation that is an immediate child of an occurrence of an element xs:annotation that is an immediate child of the element that defines the component.",true,true
"NDR-5.0","section_10.9.1.1","Section 10.9.1.1. Deprecation","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_10.9.1.1","definition_deprecated_component","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_deprecated_component","deprecated component","A deprecated component is one that developers are discouraged from using, typically because a better alternative exists, yet which is maintained in the schema for compatibility with previous versions of the namespace.",true,true
"NDR-5.0","section_3.3","Section 3.3. XML Information Set terminology","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_3.3","definition_document_element","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_document_element","document element","the value of the [document element] property of a document information item; preferred over the term root element.",false,true
"NDR-5.0","section_7.4","Section 7.4. ISO 11179 Part 4","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_7.4","definition_documented_component","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_documented_component","documented component","In a NIEM-conformant schema, a documented component is schema component that has an associated data definition. Each documented component has a textual definition, so that the component may be well-understood.",true,true
"NDR-5.0","section_3.6","Section 3.6. Conformance Targets Attribute Specification terminology","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_3.6","definition_effective_conformance_target_identifier","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_effective_conformance_target_identifier","effective conformance target identifier","The term effective conformance target identifier is as defined by [CTAS] Section 4, Semantics and Use, which states:An effective conformance target identifier of a conformant document is an internationalized resource identifier reference that occurs in the document’s effective conformance targets attribute.",true,true
"NDR-5.0","section_3.3","Section 3.3. XML Information Set terminology","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_3.3","definition_element","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_element","element","An element is an element information item, as defined by [XML Infoset] Section 2.2, Element Information Items",true,true
"NDR-5.0","section_3.4.1","Section 3.4.1. Schema components","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_3.4.1","definition_element_declaration","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_element_declaration","element declaration","The term element declaration is as defined by [XML Schema Structures] Section 2.2.2.1, Element Declaration.",true,true
"NDR-5.0","section_4.1.2","Section 4.1.2. Extension schema document","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_4.1.2","definition_extension_schema_document","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_extension_schema_document","extension schema document","An extension schema document is a schema document that is intended to provide definitions of schema components that are intended for reuse within a more narrow scope than those defined by a reference schema document. It is a conformance target of this specification. An extension schema document MUST conform to all rules of this specification that apply to this conformance target. An XML document with a conformance target identifier of http://reference.niem.gov/niem/specification/naming-and-design-rules/5.0/#ExtensionSchemaDocument MUST be an extension schema document.",true,true
"NDR-5.0","section_10.2.3.2","Section 10.2.3.2. External adapter types","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_10.2.3.2","definition_external_adapter_type","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_external_adapter_type","external adapter type","An external adapter type is a NIEM-conformant type that adapts external components for use within NIEM. An external adapter type creates a new class of object that embodies a single concept composed of external components. A NIEM-conformant schema defines an external adapter type.",true,true
"NDR-5.0","section_10.2.3","Section 10.2.3. External adapter types and external components","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_10.2.3","definition_external_schema_document","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_external_schema_document","external schema document","An external schema document is any schema document that is not one of a reference schema document, an extension schema document, or a schema document that has the structures namespace as its target namespace.",true,true
"NDR-5.0","section_2.4","Section 2.4. Normative and informative content","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_2.4","definition_informative","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_informative","informative","The term informative is as defined by [ConfReq] Section 7.2, Conformance by key words, which states:INFORMATIVE (NON-NORMATIVE) — statements provided for informational purposes, intended to assist the understanding or use of the specification and shall not contain provisions that are required for conformance.",true,true
"NDR-5.0","section_3.4","Section 3.4. XML Schema terminology","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_3.4","definition_instance_document","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_instance_document","instance document","An instance document (of an XML Schema) is an XML document that is valid against the XML Schema.",true,true
"NDR-5.0","section_2.4.1","Section 2.4.1. Rules","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_2.4.1","definition_interpretation_rule","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_interpretation_rule","interpretation rule","An interpretation rule is a rule that sets the methodology, pattern, or procedure for understanding some aspect of an instance of a conformance target.",true,true
"NDR-5.0","section_10.8.2.1","Section 10.8.2.1. Use of Acronyms, Initialisms, Abbreviations, and Jargon","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_10.8.2.1","definition_local_term","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_local_term","local term","In a conformant schema document, a local term is a word, phrase, acronym, or other string of characters for which all of the following are true: It is not a term defined in the [OED], or it has a non-OED definition, or its word sense may not be clear. It is introduced into the schema document via an appinfo element appinfo:LocalTerm. It may be used in the local name of a schema component within the schema document.",true,true
"NDR-5.0","section_10.9","Section 10.9. Machine-readable annotations","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_10.9","definition_machine-readable_annotation","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_machine-readable_annotation","machine-readable annotation","An information item within a schema is defined to be a machine-readable annotation when all of the following are true: It is one of the following: It is an element information item that is a child of an xs:appinfo element. It is an attribute information item that satisfies the {any attributes with non- schema namespace . . .} clause within the declaration of an XML Schema element. The namespace name property of the item is not the XML namespace, XML Schema namespace, or the XSI namespace.",true,true
"NDR-5.0","section_10.5.2","Section 10.5.2. Metadata element declarations","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_10.5.2","definition_metadata_element_declaration","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_metadata_element_declaration","metadata element declaration","A metadata element declaration is an element declaration defined by a reference schema document or an extension schema document that defines a metadata object. A metadata element declaration has a name ending in Metadata, and a {type definition} that is a metadata type.",true,true
"NDR-5.0","section_10.5.1","Section 10.5.1. Metadata types","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_10.5.1","definition_metadata_type","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_metadata_type","metadata type","A metadata type describes data about data, that is, information that is not descriptive of objects and their relationships, but is descriptive of the data itself. It is useful to provide a general mechanism for data about data. This provides required flexibility to precisely represent information.",true,true
"NDR-5.0","section_2.4","Section 2.4. Normative and informative content","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_2.4","definition_normative","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_normative","normative","The term normative is as defined by [ConfReq] Section 7.2, Conformance by key words, which states:NORMATIVE — statements provided for the prescriptive parts of the specification, providing that which is necessary in order to be able to claim conformance to the specification.",true,true
"NDR-5.0","section_10.2.1","Section 10.2.1. General object types","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_10.2.1","definition_object_type","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_object_type","object type","In a NIEM-conformant schema, an object type is a complex type definition, an instance of which asserts the existence of an object. An object type represents some kind of object: a thing with its own lifespan that has some existence. The object may or may not be a physical object. It may be a conceptual object.",true,true
"NDR-5.0","section_4.1.1","Section 4.1.1. Reference schema document","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_4.1.1","definition_reference_schema_document","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_reference_schema_document","reference schema document","A reference schema document is a schema document that is intended to provide the authoritative definitions of broadly reusable schema components. It is a conformance target of this specification. A reference schema document MUST conform to all rules of this specification that apply to this conformance target. An XML document with a conformance target identifier of http://reference.niem.gov/niem/specification/naming-and-design-rules/5.0/#ReferenceSchemaDocument MUST be a conformant reference schema document.",true,true
"NDR-5.0","section_10.7","Section 10.7. The Representation pattern","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_10.7","definition_representation_element_declaration","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_representation_element_declaration","representation element declaration","A representation element declaration is an element declaration that is abstract, and that has a {name} that ends in Representation.",true,true
"NDR-5.0","section_10.2.2","Section 10.2.2. Role types and roles","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_10.2.2","definition_role_type","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_role_type","role type","A role type is an object type that represents a particular function, purpose, usage, or role of one or more objects of its base type.",true,true
"NDR-5.0","section_10.2.2","Section 10.2.2. Role types and roles","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_10.2.2","definition_RoleOf_element","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_RoleOf_element","RoleOf element","A RoleOf element is an element declaration that is defined by a reference schema document or an extension schema document, and has a {name} that begins with RoleOf.A RoleOf element represents a base type for a role type.",true,true
"NDR-5.0","section_3.4","Section 3.4. XML Schema terminology","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_3.4","definition_schema_component","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_schema_component","schema component","The term schema component is as defined by [XML Schema Structures] Section 2.2, XML Schema Abstract Data Model, which states:Schema component is the generic term for the building blocks that comprise the abstract data model of the schema.",true,true
"NDR-5.0","section_3.4","Section 3.4. XML Schema terminology","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_3.4","definition_schema_document","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_schema_document","schema document","The term schema document is as defined by [XML Schema Structures] Section 3.1.2, XML Representations of Components, which states:A document in this form (i.e. a  element information item) is a schema document.",true,true
"NDR-5.0","section_3.4.1","Section 3.4.1. Schema components","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_3.4.1","definition_simple_type_definition","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_simple_type_definition","simple type definition","The term simple type definition is as defined by [XML Schema Structures] Section 2.2.1.2, Simple Type Definition.",true,true
"NDR-5.0","section_10.10","Section 10.10. NIEM structural facilities","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_10.10","definition_structures_namespace","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_structures_namespace","structures namespace","The structures namespace is the namespace represented by the URI http://release.niem.gov/niem/structures/5.0/.",true,true
"NDR-5.0","section_3.4","Section 3.4. XML Schema terminology","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_3.4","definition_valid","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_valid","valid","The term valid is as defined by [XML Schema Structures] Section 2.1, Overview of XML Schema, which states:[Definition:] the word valid and its derivatives are used to refer to clause 1 above, the determination of local schema-validity.The referenced clause 1 is a part of a description of schema-validity:Schema-validity assessment has two aspects: Determining local schema-validity, that is whether an element or attribute information item satisfies the constraints embodied in the relevant components of an XML Schema; Synthesizing an overall validation outcome for the item, combining local schema-validity with the results of schema-validity assessments of its descendants, if any, and adding appropriate augmentations to the infoset to record this outcome.",true,true
"NDR-5.0","section_3.2","Section 3.2. XML terminology","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_3.2","definition_XML_document","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_XML_document","XML document","The term XML document is as defined by [XML] Section 2, Documents, which states:A data object is an XML document if it is well-formed, as defined in this specification. In addition, the XML document is valid if it meets certain further constraints.",true,true
"NDR-5.0","section_3.4","Section 3.4. XML Schema terminology","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_3.4","definition_XML_Schema","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_XML_Schema","XML Schema","The term XML Schema is as defined by [XML Schema Structures] Section 2.2, XML Schema Abstract Data Model, which states:An XML Schema is a set of schema components.",true,true
"NDR-5.0","section_3.4","Section 3.4. XML Schema terminology","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_3.4","definition_XML_Schema_definition_language","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_XML_Schema_definition_language","XML Schema definition language","The term XML Schema definition language is as defined by [XML Schema Structures] subsection Abstract, which states:XML Schema: Structures specifies the XML Schema definition language, which offers facilities for describing the structure and constraining the contents of XML 1.0 documents, including those which exploit the XML Namespace facility. The schema language, which is itself represented in XML 1.0 and uses namespaces, substantially reconstructs and considerably extends the capabilities found in XML 1.0 document type definitions (DTDs).",true,true
"NDR-5.0","section_3.4","Section 3.4. XML Schema terminology","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#section_3.4","definition_XML_Schema_document_set","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_XML_Schema_document_set","XML Schema document set","An XML Schema document set is a set of schema documents that together define an XML Schema suitable for assessing the validity of an XML document.",true,true
